,E,tot>50keV,tot>200keV,tot>500keV,fe,se,de,511
588,5930,0.09689075405576422,0.08321755809474392,0.06920025468902094,0.01311965333774319,0.006351381727548103,0.0009313181345118477,0.004150084318701918
589,5940,0.09649419523552369,0.08288726947597883,0.06911170981914139,0.013069374303952462,0.006292368648535308,0.0008881714942446882,0.004120156349832751
590,5950,0.09678412010192898,0.08324578288377597,0.06926339571271993,0.013144174968523823,0.006440453098890764,0.0009295906689249496,0.004183404978990362
591,5960,0.09678972609734475,0.08327589924029126,0.06928549685958438,0.01311470718972886,0.006430316123497196,0.0009516709990966772,0.004154742000462762
592,5970,0.09653016493739948,0.0829481574631808,0.06918924832066606,0.01306805638777634,0.006467012520104702,0.0009056971206912864,0.004079825522722256
593,5980,0.0963918515200882,0.08276642763277701,0.06890426668110386,0.013176558601036524,0.006335300400139778,0.0009090506400759921,0.004117551518611667
594,5990,0.09676949963253458,0.08311650005776212,0.06923048561968927,0.0131088066345329,0.006356291524207245,0.00090649664119398,0.004138717582544532
595,6000,0.09695824304889623,0.08316724924985969,0.06926872429256528,0.013233697613544801,0.006308494617795474,0.0008936379362070176,0.0041043513784365165
596,6010,0.0964554784275299,0.08274016029158905,0.06881542926699603,0.01291886255942765,0.0063118123582049145,0.0008886560989174285,0.004172318852947033
597,6020,0.0967793448571798,0.08319193043369216,0.06929885061975617,0.0130059643939008,0.0063601913935598655,0.0009556941935332177,0.004156608446553623
598,6030,0.0969507251709141,0.0832448163110737,0.06920277924694561,0.012917695559829597,0.006396710542732072,0.0009007453043574839,0.004175915900429725
599,6040,0.09697807286110335,0.08335821592091393,0.0692809429026471,0.013047109457810452,0.006375969626790508,0.0009148321561548119,0.0042054423716828175
600,6050,0.0967651555236219,0.08302760981152853,0.06913581934229254,0.012880901570367824,0.006404574235658655,0.0008869073535699852,0.0040974924488405284
601,6060,0.09703301535854315,0.08329944917522547,0.06929822251994777,0.012845752486707171,0.006365833847689978,0.0009000022426924791,0.004221624820950258
602,6070,0.09720864797584247,0.08357158266216902,0.06965889318882057,0.013117956914002827,0.0063466601997252525,0.0009033265303836678,0.004231025638403503
603,6080,0.09697485572257877,0.08321566586492277,0.06927894121166282,0.012910427615659055,0.006293000508284552,0.000937772838149066,0.004261321491195004
604,6090,0.09702820220079189,0.08335414288143415,0.0693827580343479,0.012819005514125391,0.00644496805693881,0.0008973206694682634,0.004203852600383803
605,6100,0.09736631656997113,0.08361898790933849,0.06946452868935987,0.012991783629760613,0.006391318947730065,0.0009176208435318164,0.004141182590534385
606,6110,0.09672888295198817,0.08300588557754805,0.06912536430430903,0.012847164497118282,0.006400801869348224,0.0008952204340970899,0.004184077096558272
607,6120,0.09703073161072874,0.08328891509605232,0.06927405350424794,0.012907189364022825,0.006399615025806149,0.000867547479101643,0.004211381428964951
608,6130,0.09728105500558992,0.08359687196567905,0.0696467325078046,0.012974321182509933,0.006465642299256095,0.0009390679339731762,0.004196308718341515
609,6140,0.09724249452527069,0.08353562703642059,0.06955490233392034,0.012874669994812652,0.006494328209418177,0.0009017485324247907,0.004200592922602252
610,6150,0.09748137456056602,0.08367179860259152,0.06964416401289633,0.012808050029983063,0.0065152252685570546,0.0008794709859000008,0.004222956267183575
611,6160,0.09751591494233709,0.08377107154748992,0.06990238771117326,0.012953131934402153,0.006481143726710648,0.0009203705961351182,0.004189131820680968
612,6170,0.0973145333824269,0.08361116926934804,0.06945970596799773,0.012813904070194185,0.006456767573213199,0.0008822403996794478,0.004241540383074269
613,6180,0.0973693319487712,0.08346409753471021,0.06940358063151417,0.01274277912387985,0.006407926618206992,0.0008893888696588593,0.004240221529941156
614,6190,0.09704901910881857,0.08339951999861704,0.06933801489944269,0.012681909287613794,0.006400018439428877,0.0008970013839175527,0.00421465800141561
615,6200,0.09753231436000324,0.08365305152407132,0.0695574722925557,0.01284900204277501,0.006328813391855472,0.0009141885808924994,0.004220567900085807
616,6210,0.09715458508338191,0.08348588119807045,0.06957524063118166,0.012729223028731059,0.006419226923672091,0.0009212757201448937,0.0042085005531007896
617,6220,0.09769693617094583,0.08385883780646186,0.06989823604681544,0.012739396039120693,0.00651612785909047,0.0009427019080860854,0.004301735432862876
618,6230,0.09761719033798691,0.08383042914663943,0.06965077107208272,0.0126988861229968,0.006379555596342904,0.0009019421151044474,0.004226270366589043
619,6240,0.09743923207039927,0.08375812280055973,0.06969364073815734,0.012799304104380524,0.006503014704232426,0.000895173083506042,0.0042283202208380066
620,6250,0.09743006732059088,0.08365693346768521,0.06962485592382572,0.012810321123558106,0.006493144191578273,0.0008869894386262918,0.00423251331318691
621,6260,0.09681260705460047,0.08321869718719098,0.06926611272956602,0.012733662443864808,0.0064070808937427715,0.0009269332703310857,0.004232169633551745
622,6270,0.09789372017451625,0.08396667634086812,0.06987786717162826,0.012758527174197478,0.006453485329311403,0.0008820968593735876,0.004365998829580219
623,6280,0.0976202639926814,0.08382848792310708,0.06968788984067768,0.012684004799866934,0.006434197863821597,0.0009048462022835011,0.004295405671921966
624,6290,0.09781315166006135,0.0838895510811297,0.06977702397040973,0.012573582849268431,0.006395495383879251,0.0009341894838175881,0.004237792996332072
625,6300,0.09745601582510452,0.08364366203994777,0.06965445171152564,0.012638841869387886,0.006478734067501353,0.0009497148958727467,0.004261152156369633
626,6310,0.09773437248397797,0.08382272428471566,0.0697391577802742,0.012605447963218008,0.006476063099227647,0.0009325265644565771,0.00426788376617595
627,6320,0.0975621640365148,0.0836947929473864,0.06964907707758661,0.012664844743062885,0.006445011384262989,0.0009565335451394425,0.004234624149018654
628,6330,0.09799664224822886,0.08419470424047286,0.07011870262066242,0.012705683559538194,0.006454670587351398,0.0008977945912128591,0.0042945295485463525
629,6340,0.09783727094574439,0.08389578196564705,0.06993730153036373,0.012553381488375957,0.006541238261736376,0.0009486895812172678,0.004324089352399005
630,6350,0.09787820242644708,0.08401386810590224,0.06998829866778306,0.012675814638074306,0.00639565966378235,0.0009075368459959475,0.004394599849325311
631,6360,0.09797314956480709,0.0841099842197537,0.06998593387177361,0.01246738348823969,0.006508468637996629,0.000934288530336829,0.00434533639802575
632,6370,0.0978270941764995,0.08389500248123784,0.06974559668478401,0.012506849862767556,0.006489789294693443,0.0009289942637544068,0.004361804459642843
633,6380,0.09822446285185377,0.0842607253438077,0.07017905721279664,0.012576290776509723,0.0065820322594285765,0.0009176036121539018,0.0043218519336393575
634,6390,0.0982816653400814,0.08416995809992942,0.07024081277126165,0.0126225839878655,0.006512626338474477,0.0009062392058509919,0.004402839518224278
635,6400,0.09802179731004937,0.08416326840580743,0.07004503564833849,0.012476098104302506,0.006571351289776528,0.0009141200609975909,0.0043462893054046995
636,6410,0.09805147280897804,0.0840278645990636,0.06999020890020805,0.012579994596399253,0.006512884122731975,0.0009524197502075516,0.004410677402694215
637,6420,0.09776345305112936,0.0838071344248064,0.06975119128467916,0.012370745378451545,0.006454545964786242,0.0009415218135590366,0.004376462796558324
638,6430,0.09805684994033942,0.08400975125698337,0.0697094338459066,0.012450232241751936,0.006476232479086096,0.0009152315269463036,0.004291636960964137
639,6440,0.09836913989127599,0.08435793895719593,0.07015213801014253,0.012495000833000055,0.006530533768702251,0.0009011333934088928,0.004310133620675575
640,6450,0.09813538709095494,0.08405791156455292,0.07005828168096245,0.01260353587029331,0.006479367874734707,0.0009322831474438427,0.0043218316007627945
641,6460,0.09797055994218894,0.08406163657070913,0.06987520522087494,0.012309061939222028,0.006521437491327876,0.000925181800319041,0.004345141701347404
642,6470,0.09813031952002232,0.0840812055253244,0.0700153481233431,0.012352913817961955,0.0065057439188874935,0.0009008883307753128,0.004302823124505837
643,6480,0.09813683063764944,0.08420011010376234,0.07007245013391313,0.012311180177606195,0.0065518707186709504,0.0008766489432129392,0.004344452884184315
644,6490,0.09838421590688139,0.08449280695558879,0.0702157704499777,0.01235678762502152,0.006532465802817633,0.000933209400402519,0.004428220140895593
645,6500,0.09803211727012474,0.08411036904638296,0.07000181704911224,0.012315143064805613,0.006441717222658973,0.0009655391073468116,0.004481899965883976
646,6510,0.09821007724013524,0.08411590557831017,0.07012683828465967,0.012293969972561741,0.006667876678776048,0.0009232515865203417,0.004318307884494467
647,6520,0.09830619474019886,0.08424071524341484,0.07015627334167987,0.01222612621654234,0.006524917293852065,0.0008796705906511644,0.004386328013530832
648,6530,0.09848945780419083,0.08443365870718063,0.07018798505211386,0.012286408446507347,0.006551827207684422,0.0008990167639369543,0.004433640227904908
649,6540,0.09804144158611759,0.08397638765446455,0.06981950178172425,0.012234414181435919,0.006569444790544725,0.0009298560868887061,0.0043721694765394776
650,6550,0.09829557816481486,0.08443700977590282,0.0702350309945165,0.012290404422203948,0.006635887261825302,0.0009269775829071049,0.004399110175272977
651,6560,0.09857585538462955,0.08443156232301792,0.07036646514690377,0.0123043700473794,0.006572798055096393,0.0009268681250374108,0.004365673188048788
652,6570,0.09872162520783076,0.08461649906059344,0.07048147747838905,0.012264487212802605,0.006531462645654009,0.0009106609420741452,0.004465688089428745
653,6580,0.09861948977768221,0.08449095609371977,0.07036977312477517,0.012204484028044816,0.006570620386564915,0.0009551335326295942,0.004508744824062933
654,6590,0.09821465448167432,0.08418208835496178,0.0699443892222109,0.012262548220023735,0.0065307557246793825,0.0009031359192023768,0.004359879471738913
655,6600,0.09806058983592851,0.08408893379198051,0.07006410303425918,0.012320489500744446,0.006457977307232495,0.0008989277043925981,0.004420835686467219
656,6610,0.09824291646652805,0.08423679989450081,0.07003241444331548,0.012227191409142257,0.00644167804156137,0.000881449405033099,0.004401752275627627
657,6620,0.09901171696510616,0.0848211855828775,0.07049755364844165,0.012181673563348773,0.006573612152309112,0.0009243856220301082,0.004504607520318417
658,6630,0.09842776548248026,0.08433832922440938,0.07008578482884154,0.012089191367421868,0.0065581350297798,0.0009489512649333039,0.0044285915315351535
659,6640,0.09914492233744351,0.08495645657569144,0.07073330576784934,0.012267096761238184,0.006520332282741542,0.0009310196582062538,0.004482129442766479
660,6650,0.09891359301154606,0.08473755687669501,0.07046259484007968,0.01214281253176912,0.006554638781415242,0.0008885095969521704,0.00452346663712566
661,6660,0.0989897425972518,0.08484750509454798,0.0706506221609991,0.012174091235100581,0.006584774416830793,0.0009344368674506768,0.004540352235339656
662,6670,0.09891693466582363,0.08470107669703737,0.0704756662830526,0.012032441923407584,0.006562074973048458,0.0009415981695695486,0.004486010216567579
663,6680,0.09869711250979188,0.08446276906076143,0.07026023216969798,0.012040145328707145,0.006608948366142555,0.0009083044196575434,0.00451085148881954
664,6690,0.09875187169319073,0.08453358472308019,0.07029850414325585,0.012136333246944584,0.006518189975667421,0.0009231946529146671,0.004443044472655692
665,6700,0.0990858406634286,0.08483686995978025,0.07058971279446762,0.012078618700391225,0.006508335702267784,0.0009026887065980605,0.00452341799383669
666,6710,0.09874241864307298,0.08444472221618371,0.07028877995405897,0.012112508423729918,0.006574585335101411,0.0009071360767519546,0.004443291087874901
667,6720,0.0986137739531374,0.084471933921506,0.0702617823785254,0.012129591008576487,0.006475569360613302,0.0009124789297440988,0.004490237787394671
668,6730,0.09861777224852533,0.08451576838658452,0.0703251920463722,0.012117709208419628,0.006497423941773537,0.0009462794362271378,0.004526686300232684
669,6740,0.09923842962391849,0.08491976900551666,0.07066927098968036,0.012144228455764954,0.0066365998868771646,0.0009475053164572961,0.004498280361361104
670,6750,0.09901492803825214,0.0848723861503734,0.07057067077421443,0.012067424627069594,0.006514389193157254,0.0009577464280657581,0.004555382904677175
671,6760,0.09868115237014216,0.08450669333189197,0.07036736752968308,0.012008359908473416,0.006562257895969587,0.0009085094499396429,0.004487595265120804
672,6770,0.09884433765947442,0.08466278371319237,0.07052667337072308,0.012016008746768891,0.00652543154550997,0.0009336185931830095,0.004595428193481767
673,6780,0.09888226651487292,0.08472014414712427,0.07048611001870156,0.01203757928833425,0.006527340626684027,0.0009469879983765921,0.004507294324499123
674,6790,0.09869334334217487,0.08462469537983015,0.07043976646834554,0.011962571003212767,0.006579526292065419,0.0008938817364382292,0.004566159819409849
675,6800,0.09936325499668577,0.08526902678203839,0.07090571348358446,0.011981910306765965,0.006629807989853699,0.0009113014838248472,0.0046083062977569965
676,6810,0.09871637443536468,0.08456795626543046,0.07050913608276704,0.011968051149698972,0.006570668396505141,0.0009107635406078238,0.004498266950931214
677,6820,0.09882498354296751,0.08468647954651534,0.07055558315175778,0.01191260924180404,0.0065107645326448905,0.0009084371435335161,0.004527865526242422
678,6830,0.09917694148738815,0.08497010758052446,0.07059742818801067,0.011920311914679427,0.006493007221207481,0.0009128207053842117,0.004490568264415817
679,6840,0.09910575698524092,0.08487628134941119,0.07064412646755701,0.011983820926340382,0.006603894909253937,0.0008953147131688515,0.004549359749508358
680,6850,0.09935629085073004,0.08509486134448721,0.0707683070819604,0.011982063036303484,0.006624436682009643,0.0009081781081793571,0.004592187437969785
681,6860,0.09892280991772362,0.08472796216133122,0.07055361109316413,0.011978086366806058,0.0065558211708510354,0.0009116570458479725,0.004580787028269835
682,6870,0.09914407036160022,0.08485142521409368,0.07066115334627095,0.011791176313493688,0.006532305446258479,0.0009209144159381844,0.004607020136379013
683,6880,0.09941914388638269,0.08524099037212317,0.0708511960816222,0.011782966830199183,0.006635560808040927,0.0008727958902562543,0.004621638757650859
684,6890,0.09973666549856118,0.08528191537320082,0.07086092038717144,0.01174900922003865,0.006561377280748156,0.0009091680290862706,0.004638000558736385
685,6900,0.09949230741245375,0.0851071664826172,0.07089239517055373,0.011976451724393425,0.006581413828245242,0.0009401385939093749,0.00459021892052213
686,6910,0.09932864668325402,0.0850723606126387,0.07070438914737065,0.011852834105528516,0.006604063752859722,0.0009165293497694051,0.004619432017720749
687,6920,0.09941374706032358,0.0850212860907262,0.07070807242229338,0.011766231972345791,0.006582395942538181,0.0009686765080894229,0.004530599198141275
688,6930,0.09960122361594699,0.08511622538273378,0.07072365729731594,0.01167450259091876,0.006577576976844258,0.000929608472085432,0.004626151009633521
689,6940,0.09945921970541367,0.08516593839584269,0.07075293528263402,0.011787517212770385,0.006685424555162815,0.0009502642052570683,0.0046773232325240405
690,6950,0.09952846321373171,0.08515111463176221,0.07079362487560652,0.011706557163630105,0.006619167297368264,0.0009514584101024053,0.004605261706226183
691,6960,0.09932507791801305,0.08499609858887944,0.07072927733522599,0.01166632134402511,0.006546876446497767,0.0008979858138519933,0.004626809086540793
692,6970,0.09958455609065256,0.08526640549862076,0.07077607071265761,0.01173230510158427,0.006547843425998668,0.0009076000605947444,0.004617266683811691
693,6980,0.09970443055041726,0.08532230882894408,0.07106159977019574,0.011839934120433443,0.006562002499517209,0.0009171934847149815,0.004615000886400418
694,6990,0.10040942094423007,0.08585403837931355,0.07137204134373738,0.011802326628884105,0.00654976835220484,0.0009386316806648465,0.004753800337749209
695,7000,0.09953083051076614,0.085160320060683,0.07080473453821395,0.011778401698281175,0.006521315430443692,0.0009227117013188369,0.0045191802878579565
696,7010,0.09965568682410123,0.08527407802385636,0.07087843710233188,0.011728660870815906,0.006639385884212198,0.0009313820499350576,0.0045718405144175665
697,7020,0.09943111756684599,0.08521015183777454,0.07089675968736216,0.011720195873926857,0.006599071267779493,0.0009242642134095406,0.004599857111380846
698,7030,0.09960963737539442,0.085282922105569,0.07082318336541503,0.01169600111319641,0.0065207755093289275,0.0009281012518646259,0.004624097114134575
699,7040,0.09998269023475713,0.08559416643426704,0.07119777455866655,0.01154028061052766,0.006540555993156523,0.0009336782464333578,0.004657681907710976
700,7050,0.09981223855310156,0.08537469325019431,0.07087688962246849,0.011663042434087,0.00644502082842097,0.0009230876714960657,0.0047669574785820954
701,7060,0.10022965643136152,0.08565857743870921,0.07116950302173776,0.011685652034520436,0.006645423992008916,0.0009325839510938669,0.0046491796270972776
702,7070,0.10015124387301091,0.0858020304413698,0.07137438457774375,0.011791444677466232,0.006538650413142835,0.0009403177123525416,0.004632742315909278
703,7080,0.10008731670456485,0.08570356544661233,0.07123754670529611,0.01159927987659007,0.006679771426979556,0.0009593520282199232,0.004676623498727248
704,7090,0.09990225228476587,0.0855305552922474,0.07104493525083508,0.011691461597931644,0.006643192141222838,0.0009196459862996664,0.004659539663918309
705,7100,0.1003438865126728,0.08601767082368139,0.07168059601783154,0.01176650466312196,0.006644042058662687,0.0009564710128906405,0.004823185343840904
706,7110,0.0999129143240967,0.08538778726449009,0.07098545664873318,0.011630949390074837,0.006581108352891813,0.0009446214072819593,0.004756301128121818
707,7120,0.10039999271794792,0.08595032080040155,0.07158560615714842,0.011658218619340263,0.006574219281660239,0.0008881502807491151,0.00473550113088535
708,7130,0.10002052431395099,0.0855140777741598,0.07102538433293382,0.01156765922364401,0.006669536029264034,0.0009084390436535704,0.004640919766386543
709,7140,0.09995324133569736,0.08543469769723311,0.07095032551556726,0.011497613837450273,0.006572166007532427,0.0009485823387204563,0.0046747850550484865
710,7150,0.10030225317970777,0.08573231041120692,0.07123409605990619,0.01157938628993404,0.006586483514346764,0.0009112965775606721,0.004710310095774721
711,7160,0.09989769931367894,0.08545776319765183,0.07108343764837916,0.011446885656321492,0.006697457590538265,0.0009094833167868088,0.004710579703889153
712,7170,0.1002145647001398,0.08571118108036087,0.0712073662614257,0.01145609918270512,0.006535685610970396,0.0009137110120502916,0.0046647124720906345
713,7180,0.100014688595318,0.08547771748705271,0.07103378850748795,0.011507071417156537,0.006595653123437183,0.0009295597858135738,0.004751179072068451
714,7190,0.1005532407636504,0.08607483057889113,0.07153101431489499,0.011554930564131736,0.006565995809707897,0.0008838426760036714,0.004804765004993668
715,7200,0.09998804999058615,0.08539399352980066,0.07108536175429576,0.011514134969768195,0.006565197617907476,0.0009069971173826213,0.004683286063451971
716,7210,0.10033313694943086,0.085864567248318,0.07125343313986943,0.01149876415552918,0.006573421528599623,0.0008953216545028882,0.004723304814726388
717,7220,0.10017557579035916,0.08564692579359785,0.07115688273827883,0.011326847653148375,0.0065576034869789515,0.0009454410993197886,0.004713693067094146
718,7230,0.10045033405453632,0.0858467235829947,0.07136181378050489,0.011530248744322616,0.006565389713151477,0.0009238940161578607,0.004661893785612879
719,7240,0.10005881809028705,0.0856950466092698,0.07123795384963116,0.01141430538146999,0.006615536879884384,0.0008865521469031034,0.00475382017931384
720,7250,0.10063119272332291,0.086087674208764,0.07159504453842963,0.011426042259122573,0.006563377992926878,0.000915571558695364,0.004813913608703276
721,7260,0.10016511131663994,0.08558960546298452,0.0711678902276742,0.011448857143467423,0.006454079616548725,0.0009231709062325784,0.004703002548225106
722,7270,0.10040588769743336,0.08579247961919702,0.07127978597329616,0.011357686026171243,0.006573323734166817,0.0008825315511430874,0.004723549552140843
